x, y_data, y_fit
90,82.4,81.93538414916867
91,81.4,81.9915290575795
92,81.63,82.0466617144038
93,81.87,82.10079085582177
94,82.1,82.15392649888946
95,82.0,82.20607981489488
96,81.4,82.25726300514062
97,82.3,82.30748917944626
98,82.85,82.35677223763942
99,83.4,82.40512675428462
100,83.1,82.45256786688027
101,82.8,82.49911116772878
102,82.5,82.54477259967467
103,82.2,82.58956835587583
104,81.9,82.63351478376549
105,81.6,82.67662829333722
106,81.7,82.7189252698723
107,81.65,82.76042199121206
108,81.6,82.8011345496594
109,81.55,82.84107877858224
110,81.5,82.88027018377396
111,81.6,82.9187238796127
112,81.93,82.95645453004751
113,82.25,82.99347629442671
114,82.58,83.02980277816964
115,82.9,83.06544698827406
116,83.1,83.10042129363354
117,83.3,83.13473739013715
118,83.5,83.16840627050301
119,83.7,83.20143819879524
120,83.7,83.23384268955915
121,83.57,83.26562849150218
122,83.43,83.29680357563961
123,83.3,83.32737512781294
124,83.3,83.3573495454853
125,83.57,83.38673243870687
126,83.83,83.41552863513854
127,84.1,83.4437421890119
128,84.0,83.47137639390621
129,83.93,83.49843379920144
130,83.87,83.5249162300811
131,83.8,83.55082481093402
132,83.73,83.57615999201462
133,83.67,83.60092157920832
134,83.6,83.6251087667464
135,83.63,83.64872017271522
136,83.66,83.67175387719632
137,83.69,83.69420746287382
138,83.71,83.7160780579409
139,83.74,83.73736238114162
140,83.77,83.75805678877036
141,83.8,83.77815732346393
142,83.83,83.79765976461012
143,83.86,83.81655968019514
144,83.89,83.83485247992598
145,83.91,83.85253346944091
146,83.94,83.86959790544412
147,83.97,83.8860410515829
148,84.0,83.90185823489922
149,84.0,83.91704490267924
150,84.0,83.93159667953495
151,84.0,83.94550942454207
152,84.0,83.95877928827143
153,84.01,83.97140276954221
154,84.01,83.98337677174314
155,84.01,83.99469865854974
156,84.01,84.00536630888172
157,84.01,84.01537817095637
158,84.01,84.02473331526367
159,84.01,84.03343148633498
160,84.01,84.0414731531505
161,84.01,84.04885955803775
162,84.01,84.05559276394027
163,84.02,84.06167569990366
164,84.02,84.0671122046643
165,84.02,84.0719070682001
166,84.02,84.07606607115166
167,84.02,84.07959602195434
168,84.02,84.08250479161646
169,84.02,84.08480134600538
170,84.02,84.08649577555313
171,84.02,84.08759932229914
172,84.03,84.08812440414081
173,84.03,84.08808463626613
174,84.03,84.0874948496369
175,84.03,84.08637110647415
176,84.03,84.08473071268592
177,84.03,84.08259222716144
178,84.03,84.07997546787672
179,84.03,84.07690151478172
180,84.03,84.07339270940666
181,84.03,84.0694726511551
182,84.04,84.0651661902703
183,84.04,84.06049941742582
184,84.04,84.05549964994512
185,84.04,84.05019541462875
186,84.04,84.0446164271795
187,84.04,84.03879356826027
188,84.04,84.03275885613108
189,84.04,84.02654541594931
190,84.04,84.02018744571951
191,84.04,84.01372017890837
192,84.05,84.00717984379678
193,84.05,84.00060361958676
194,84.05,83.99402958930084
195,84.05,83.98749668956842
196,84.05,83.9810446573124
197,84.05,83.97471397342535
198,84.05,83.96854580352638
199,84.05,83.96258193584828
200,84.05,83.95686471633644
201,84.06,83.95143698109128
202,84.06,83.94634198622353
203,84.06,83.94162333521218
204,84.06,83.93732490392053
205,84.06,83.9334907633104
206,84.06,83.93016510010341
207,84.06,83.9273921353336
208,84.06,83.92521604111334
209,84.06,83.92368085560348
210,84.06,83.92283039642193
211,84.07,83.92270817256762
212,84.07,83.92335729509539
213,84.07,83.9248203866088
214,84.07,83.92713948978188
215,84.07,83.93035597510512
216,84.07,83.93451044792592
217,84.07,83.93964265507954
218,84.07,83.94579139118802
219,84.07,83.95299440486374
220,84.08,83.9612883050086
221,84.08,83.97070846734232
222,84.08,83.9812889413916
223,84.08,83.99306235815521
224,84.08,84.00605983860167
225,84.08,84.02031090318465
226,84.08,84.03584338264378
227,84.08,84.052683330227
228,84.08,84.07085493559227
229,84.08,84.09038044052916
230,84.09,84.1112800568059
231,84.09,84.13357188621768
232,84.09,84.15727184316906
233,84.09,84.18239357996491
234,84.09,84.20894841493822
235,84.09,84.23694526374143
236,84.09,84.26639057389949
237,84.09,84.2972882629937
238,84.09,84.3296396604313
239,84.09,84.36344345324926
240,84.1,84.39869563604766
241,84.1,84.43538946519315
242,84.1,84.47351541762333
243,84.1,84.51306115433762
244,84.1,84.55401148883148
245,84.03,84.59634836062801
246,83.97,84.64005081405615
247,83.9,84.68509498258055
248,84.03,84.73145407868094
249,84.15,84.77909838961034
250,84.28,84.8279952790901
251,84.4,84.87810919511661
252,84.1,84.92940168413237
253,84.2,84.98183141149917
254,84.3,85.03535418861685
255,84.6,85.08992300672706
